"Port-level Exports"
"Current date: 04/04/2017 3:16 PM (Eastern Daylight Time)"
"Time","Port","Commodity","Country","Containerized Vessel Total Exports Value ($US)","Containerized Vessel Total Exports SWT (kg)",
"2003","Chicago, IL (District)","Total All Commodities","Asia - South","3,091,759","5,104,357"
"2003","Chicago, IL (District)","Total All Commodities","Asia - Other","40,387,349","28,919,784"
"2003","Chicago, IL (District)","Total All Commodities","Europe","210,718,719","61,647,744"
"2003","Chicago, IL (Port)","Total All Commodities","World Total","290,037,240","105,142,314"
"2003","Chicago, IL (Port)","Total All Commodities","Asia","49,642,184","36,749,393"
"2003","Chicago, IL (Port)","Total All Commodities","Asia Near East","6,505,573","2,870,978"
"2003","Chicago, IL (Port)","Total All Commodities","Asia - South","3,091,759","5,104,357"
"2003","Chicago, IL (Port)","Total All Commodities","Asia - Other","40,110,316","28,777,052"
"2003","Chicago, IL (Port)","Total All Commodities","Europe","209,555,333","61,536,433"
"2003","East Chicago, IN (Port)","Total All Commodities","World Total","114,384","122,205"
"2003","East Chicago, IN (Port)","Total All Commodities","Asia","59,681","112,476"
"2003","East Chicago, IN (Port)","Total All Commodities","Asia - Other","59,681","112,476"
"2003","East Chicago, IN (Port)","Total All Commodities","Europe","48,703","8,028"
"2003","Gary, IN (Port)","Total All Commodities","World Total","4,800","427"
"2003","Gary, IN (Port)","Total All Commodities","Asia","4,800","427"
"2003","Gary, IN (Port)","Total All Commodities","Asia - Other","4,800","427"
"2003","Peoria, IL (Port)","Total All Commodities","World Total","1,798,453","185,975"
"2003","Peoria, IL (Port)","Total All Commodities","Asia","212,552","29,829"
"2003","Peoria, IL (Port)","Total All Commodities","Asia - Other","212,552","29,829"
"2003","Peoria, IL (Port)","Total All Commodities","Europe","1,114,683","103,283"
"2003","Cleveland, OH (District)","Total All Commodities","World Total","15,148,604","6,736,157"
"2003","Cleveland, OH (District)","Total All Commodities","Asia","5,034,175","2,160,592"
"2003","Cleveland, OH (District)","Total All Commodities","Asia Near East","197,196","14,650"
"2003","Cleveland, OH (District)","Total All Commodities","Asia - South","107,301","303,499"
"2003","Cleveland, OH (District)","Total All Commodities","Asia - Other","4,729,678","1,842,443"
"2003","Cleveland, OH (District)","Total All Commodities","Europe","8,367,277","4,017,627"
"2003","Cleveland, OH (Port)","Total All Commodities","World Total","9,780,540","3,494,332"
"2003","Cleveland, OH (Port)","Total All Commodities","Asia","3,475,857","1,855,517"
"2003","Cleveland, OH (Port)","Total All Commodities","Asia Near East","197,196","14,650"
"2003","Cleveland, OH (Port)","Total All Commodities","Asia - South","107,301","303,499"
"2003","Cleveland, OH (Port)","Total All Commodities","Asia - Other","3,171,360","1,537,368"
"2003","Cleveland, OH (Port)","Total All Commodities","Europe","4,759,569","1,183,081"
"2003","Erie, PA (Port)","Total All Commodities","World Total","143,849","28,660"
"2003","Erie, PA (Port)","Total All Commodities","Asia","125,694","19,863"
"2003","Erie, PA (Port)","Total All Commodities","Asia - Other","125,694","19,863"
"2003","Erie, PA (Port)","Total All Commodities","Europe","6,308","2,037"
"2003","Fairport, Ohio (Port)","Total All Commodities","World Total","33,592","2,735"
"2003","Fairport, Ohio (Port)","Total All Commodities","Europe","33,592","2,735"
"2003","Huron, OH (Port)","Total All Commodities","World Total","3,290,982","2,733,054"
"2003","Huron, OH (Port)","Total All Commodities","Europe","3,202,818","2,647,657"
"2003","Louisville, KY (Port)","Total All Commodities","World Total","419,713","40,257"
"2003","Louisville, KY (Port)","Total All Commodities","Asia","317,686","30,210"
"2003","Louisville, KY (Port)","Total All Commodities","Asia - Other","317,686","30,210"
"2003","Toledo-Sandusky, OH (Port)","Total All Commodities","World Total","1,479,928","437,119"
"2003","Toledo-Sandusky, OH (Port)","Total All Commodities","Asia","1,114,938","255,002"
"2003","Toledo-Sandusky, OH (Port)","Total All Commodities","Asia - Other","1,114,938","255,002"
"2003","Toledo-Sandusky, OH (Port)","Total All Commodities","Europe","364,990","182,117"
"2003","Columbia-Snake, OR (District)","Total All Commodities","World Total","1,469,947,029","1,921,798,022"
"2003","Columbia-Snake, OR (District)","Total All Commodities","Asia","1,293,542,548","1,753,897,939"
"2003","Columbia-Snake, OR (District)","Total All Commodities","Asia Near East","8,585,930","20,974,825"
"2003","Columbia-Snake, OR (District)","Total All Commodities","Asia - South","7,018,688","5,997,342"
"2003","Columbia-Snake, OR (District)","Total All Commodities","Asia - Other","1,278,529,560","1,727,400,126"
"2003","Columbia-Snake, OR (District)","Total All Commodities","Europe","62,729,622","76,229,106"
"2003","Astoria, OR (Port)","Total All Commodities","World Total","771,732","215,125"
"2003","Astoria, OR (Port)","Total All Commodities","Asia","729,896","197,817"
"2003","Astoria, OR (Port)","Total All Commodities","Asia - Other","729,896","197,817"
"2003","Astoria, OR (Port)","Total All Commodities","Europe","41,836","17,308"
"2003","Coos Bay, OR (Port)","Total All Commodities","World Total","747,479","1,513,517"
"2003","Kalama, WA (Port)","Total All Commodities","World Total","1,176,005","9,314,163"
"2003","Kalama, WA (Port)","Total All Commodities","Asia","1,128,253","9,308,864"
"2003","Kalama, WA (Port)","Total All Commodities","Asia - Other","1,128,253","9,308,864"
"2003","Longview, WA (Port)","Total All Commodities","World Total","15,622,961","43,037,460"
"2003","Longview, WA (Port)","Total All Commodities","Asia","13,332,496","36,716,818"
"2003","Longview, WA (Port)","Total All Commodities","Asia - Other","13,332,496","36,716,818"
"2003","Longview, WA (Port)","Total All Commodities","Europe","29,878","19,537"
"2003","Newport, OR (Port)","Total All Commodities","World Total","226,510","247,516"
"2003","Newport, OR (Port)","Total All Commodities","Asia","29,410","1,357"
"2003","Newport, OR (Port)","Total All Commodities","Asia - Other","29,410","1,357"
"2003","Newport, OR (Port)","Total All Commodities","Europe","38,500","22,867"
"2003","Portland, OR (Port)","Total All Commodities","World Total","1,391,367,482","1,628,171,556"
"2003","Portland, OR (Port)","Total All Commodities","Asia","1,230,317,283","1,493,233,612"
"2003","Portland, OR (Port)","Total All Commodities","Asia Near East","6,778,011","4,916,700"
"2003","Portland, OR (Port)","Total All Commodities","Asia - South","6,882,844","5,672,980"
"2003","Portland, OR (Port)","Total All Commodities","Asia - Other","1,217,248,058","1,483,118,286"
"2003","Portland, OR (Port)","Total All Commodities","Europe","52,694,393","54,770,310"
"2003","Vancouver, WA (Port)","Total All Commodities","World Total","60,034,860","239,298,685"
"2003","Vancouver, WA (Port)","Total All Commodities","Asia","48,005,210","214,439,471"
"2003","Vancouver, WA (Port)","Total All Commodities","Asia Near East","1,807,919","16,058,125"
"2003","Vancouver, WA (Port)","Total All Commodities","Asia - South","135,844","324,362"
"2003","Vancouver, WA (Port)","Total All Commodities","Asia - Other","46,061,447","198,056,984"
"2003","Vancouver, WA (Port)","Total All Commodities","Europe","9,925,015","21,399,084"
"2003","Detroit, MI (District)","Total All Commodities","World Total","2,386,213,885","472,618,282"
"2003","Detroit, MI (District)","Total All Commodities","Asia","54,812,024","38,528,905"
"2003","Detroit, MI (District)","Total All Commodities","Asia Near East","15,321,701","3,642,571"
"2003","Detroit, MI (District)","Total All Commodities","Asia - South","2,896,840","2,126,320"
"2003","Detroit, MI (District)","Total All Commodities","Asia - Other","36,676,214","32,779,061"
"2003","Detroit, MI (District)","Total All Commodities","Europe","2,314,630,796","425,272,811"
"2003","Battle Creek, MI (Port)","Total All Commodities","World Total","6,331","332"
"2003","Battle Creek, MI (Port)","Total All Commodities","Europe","6,331","332"
"2003","Detour City, MI (Port)","Total All Commodities","World Total","1,791,170","919,730"
"2003","Detour City, MI (Port)","Total All Commodities","Asia","68,733","101,964"
"2003","Detour City, MI (Port)","Total All Commodities","Asia - Other","68,733","101,964"
"2003","Detour City, MI (Port)","Total All Commodities","Europe","1,511,403","758,038"
"2003","Detroit, MI (Port)","Total All Commodities","World Total","2,208,273,749","413,210,117"
"2003","Detroit, MI (Port)","Total All Commodities","Asia","46,529,144","28,394,754"
"2003","Detroit, MI (Port)","Total All Commodities","Asia Near East","14,170,354","3,175,649"
"2003","Detroit, MI (Port)","Total All Commodities","Asia - South","2,881,340","2,105,820"
"2003","Detroit, MI (Port)","Total All Commodities","Asia - Other","29,477,450","23,113,285"
"2003","Detroit, MI (Port)","Total All Commodities","Europe","2,149,043,978","378,386,819"
